ID,  Milk,PetFood,Veggies,Cereal,  Nuts,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
 1,    10,     4,     5,    10,     6,     8,     5,     4,     5,     2,     0,     7
 2,     2,     4,     5,     9,     5,     3,     4,     6,     7,     8,     8,     4
 3,     5,     6,     9,     5,     4,     7,     1,     0,     7,     4,     1,     6
 4,     8,     5,     8,     8,     4,     8,     4,     8,     5,     1,     0,     5
 5,     9,     5,     7,    10,     5,     7,     1,     9,     3,     0,     4,     6
 6,    10,     7,     6,    10,     5,     9,     3,     7,     6,     1,     2,     6
 7,     3,     5,    10,     7,     7,     9,     0,     0,     6,     1,     0,     9
 8,     4,     4,     9,     4,     7,     8,     0,     2,     8,     2,     3,     8
 9,     2,     7,     9,     6,     8,     7,     1,     2,     8,     2,     3,     8
10,     4,     3,     9,     6,     7,     6,     1,     1,     8,     2,     1,     6
11,     1,     6,     9,     2,     5,     9,     0,     1,     9,     2,     0,     7
12,     2,     5,     9,     6,     6,     8,     1,     1,     7,     3,     0,     8
13,     0,     6,     9,     6,     6,     8,     0,     3,     9,     1,     2,     7
14,     9,     7,     9,     8,     4,     8,     6,     4,     5,     3,     1,     4
15,     5,     9,     5,     8,     5,     3,     5,     4,     4,     5,     6,     2
16,     5,     4,     2,    10,    10,     4,     9,     7,     3,     4,     7,     6
17,     7,     3,     4,     9,     6,     2,     4,     6,     1,     5,     9,     5
18,     8,     5,     7,     7,     4,     8,     4,     3,     6,     2,     3,     6
19,     8,     4,     9,     8,     7,     7,     4,     1,     5,     2,     3,     4
20,     7,     5,     8,     8,     6,     8,     4,     7,     7,     2,     3,     2
21,     2,     8,     9,     8,     5,     8,     1,     4,     9,     0,     2,     6
22,     1,     6,    10,     6,     5,     9,     0,     1,    10,     1,     1,     8
23,     8,     5,     6,     4,     7,     2,     7,     5,     2,     3,     6,     1
24,     5,     6,     6,     5,     9,     3,     5,     5,     3,     6,     9,     3
25,     2,     6,     4,     9,     6,     4,     6,     7,     5,     6,     7,     3
26,     7,     5,     4,     8,     8,     2,     7,     5,     3,     4,     6,     1
27,     8,     4,     9,    10,     4,    10,     2,     5,     4,     0,     4,     3
28,     5,     5,     3,     5,     9,     2,     5,     3,     4,     4,     8,     2
29,     4,     5,     9,     3,     5,     7,     0,     0,     6,     2,     1,     8
30,     8,     4,     9,    10,     5,     6,     7,     5,     4,     1,     1,     5
31,     6,     8,     4,     9,     8,     0,     6,     3,     6,     5,     7,     1
32,    10,     5,     8,     9,     3,     8,     2,     5,     4,     1,     2,     5
33,    10,     1,     7,    10,     2,     6,     4,     7,     6,     4,     1,     6
34,     5,     5,     9,     8,     7,     4,     6,     6,     4,     5,     9,     1
35,     3,     6,    10,     5,     8,     9,     0,     4,     7,     2,     3,     8
36,     3,     4,     9,     7,     7,     9,     1,     1,     9,     2,     2,     8
37,     8,     5,     6,    10,     3,     8,     3,     6,     6,     2,     2,     4
38,     6,     7,     6,     5,     6,     4,     6,     8,     5,     3,     7,     1
39,     9,     5,     8,     9,     3,     6,     5,     6,     5,     1,     3,     5
40,    10,     4,     6,     7,     4,     7,     5,     7,     4,     1,     1,     4
41,     5,     4,     6,     8,     8,     4,     7,     5,     2,     6,     7,     1
42,     8,     7,     6,    10,     5,     7,     5,     8,     4,     3,     5,     5
43,     6,     3,     7,     9,     2,    10,     7,     7,     6,     1,     2,     6
44,     3,     4,    10,     8,     7,     7,     0,     1,     8,     2,     1,     5
45,     1,     3,     9,     6,     6,     9,     0,     0,     8,     0,     2,     7
46,     3,     4,     9,     5,     8,     8,     2,     1,     7,     1,     1,     7
47,     7,     3,     8,     9,     3,     8,     5,    10,     7,     3,     3,     5
48,     8,     4,     8,     9,     3,     8,     6,     9,     5,     1,     2,     5
49,     9,     6,     8,     8,     4,     8,     6,     5,     4,     2,     1,     5
50,     5,     4,    10,     7,    10,     8,     0,     2,     9,     3,     0,     5
51,     7,     4,    10,    10,     0,     9,     3,     6,     6,     4,     2,     4
52,     4,     4,     4,     5,     7,     2,     2,     6,     2,     5,     9,     3
53,     6,     8,     6,     9,     7,     2,     6,     4,     1,     6,     8,     3
54,     8,     3,     8,     8,     3,     7,     5,     6,     3,     3,     4,     5
55,     6,     1,     3,     8,     6,     3,     7,     4,     3,     6,     9,     5
56,     1,     3,    10,     4,     8,     8,     1,     2,     9,     1,     2,     5
57,     9,     6,     8,     9,     5,     5,     5,     5,     5,     3,     3,     5
58,     2,     4,     9,     3,     7,     9,     1,     2,     8,     2,     1,     6
59,     8,     7,     8,     9,     3,     9,     4,     8,     4,     3,     3,     5
60,     7,     4,     8,    10,     2,    10,     4,     6,     5,     2,     2,     6
61,    10,     6,     8,    10,     4,     7,     6,     9,     6,     2,     2,     5
62,     6,     3,     4,     9,     7,     2,     6,     5,     5,     6,     8,     0
63,     8,     6,     8,     9,     4,     5,     6,     5,     5,     3,     4,     4
64,     2,     5,    10,     6,     8,     9,     0,     1,    10,     3,     1,     8
65,     6,     6,     4,     8,     8,     4,     7,     7,     4,     6,     6,     2
66,     3,     4,     9,     6,     7,     8,     1,     3,     8,     1,     1,     7
67,     6,     5,     5,     9,     6,     1,     5,     6,     5,     5,     9,     2
68,     2,     3,     7,     2,     4,     5,     5,     6,     4,     3,     9,     1
69,     2,     6,    10,     9,     4,     7,     0,     0,     8,     4,     0,     7
70,     0,     6,    10,     5,     8,     8,     1,     0,     9,     2,     0,     6
71,     8,     4,     8,     9,     3,     7,     3,     5,     5,     4,     2,     3
72,     6,     4,     9,     7,     6,     4,     6,     3,     2,     6,     8,     2
73,     9,     5,     6,     9,     2,     7,     4,     6,     6,     4,     3,     3
74,    10,     4,     6,     8,     4,    10,     4,     6,     4,     1,     1,     5
75,     5,     3,     7,     9,     7,     4,     6,     7,     5,     6,     7,     0
76,     3,     5,     7,     6,     8,     1,     5,     4,     3,     6,     8,     4
77,     2,     6,    10,     7,     8,     7,     2,     1,     9,     5,     1,     8
78,     3,     4,    10,     6,     7,     8,     0,     2,    10,     0,     2,     9
79,     8,     4,     6,     8,     3,     7,     3,     5,     4,     4,     1,     7
80,     2,     6,    10,     2,     4,     8,     3,     0,     7,     3,     1,     8
81,     9,     7,     7,     7,     3,     6,     4,     5,     4,     2,     3,     5
82,     8,     7,     8,     9,     6,     7,     5,     8,     7,     2,     4,     5
83,     5,     5,     3,     8,     5,     3,     5,     4,     3,     6,     8,     4
84,     8,     5,     7,     9,     2,     7,     6,     6,     4,     2,     0,     6
85,     7,     3,     8,     7,     6,     6,     2,     7,     5,     5,     3,     4
86,     9,     6,     7,     8,     2,     7,     5,     4,     7,     0,     4,     8
87,     4,     2,    10,     5,     5,     8,     0,     1,     9,     1,     3,    10
88,     8,     4,     7,     9,     6,     9,     4,     8,     7,     1,     3,     6
89,     3,     3,     5,     6,     6,     2,     5,     4,     4,     7,     7,     2
90,     3,     3,    10,     5,     6,     6,     2,     1,    10,     1,     2,     8
91,     6,     5,     5,     7,     7,     2,     3,     4,     2,     2,     8,     1
92,    10,     6,     7,     7,     5,     9,     3,     6,     8,     2,     4,     6
93,     9,     1,     8,     8,     4,     6,     5,     6,     6,     2,     5,     4
94,     1,     5,     9,     7,     9,     9,     1,     1,     8,     2,     2,     6
95,     2,     3,    10,     7,     9,     8,     0,     2,    10,     3,     0,     6
96,     3,     6,    10,     5,     3,     8,     1,     2,    10,     3,     2,     9
97,     3,     6,    10,     8,     7,     8,     0,     3,     7,     1,     2,     7
98,     8,     4,     9,     9,     6,     6,     3,     3,     4,     2,     2,     9
99,     9,     7,     8,     8,     1,     7,     3,     7,     8,     3,     3,     6
100,     1,     5,    10,     6,     6,     9,     0,     2,     9,     0,     1,     8
